session_test_id,participant_id,session_uuid,trial_id,question_name,label,answer,response_time
hp_ABX_passivetest,hp_mpb2uybn_6hvdu043,3220085c-278b-4356-b0e6-76e7c0670712,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",1-2,118398
hp_ABX_passivetest,hp_mpb4qohj_04fzc51h,bdbf2296-4ad6-4b54-8c4b-83aa69b97175,demographics,age_range,"Age range",25_34,45670
hp_ABX_passivetest,hp_mpb4qohj_04fzc51h,bdbf2296-4ad6-4b54-8c4b-83aa69b97175,demographics,gender,Gender,male,45670
hp_ABX_passivetest,hp_mpb4qohj_04fzc51h,bdbf2296-4ad6-4b54-8c4b-83aa69b97175,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,45670
hp_ABX_passivetest,hp_mpb4qohj_04fzc51h,bdbf2296-4ad6-4b54-8c4b-83aa69b97175,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","sennheiser hd650",45670
hp_ABX_passivetest,hp_mpb4qohj_04fzc51h,bdbf2296-4ad6-4b54-8c4b-83aa69b97175,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?",1-2,45670
hp_ABX_passivetest,hp_mpb4qohj_04fzc51h,bdbf2296-4ad6-4b54-8c4b-83aa69b97175,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",0,45670
hp_ABX_passivetest,hp_mpb6ju6s_0vsdufuy,1854e081-250e-4d0a-9d55-74ad51ee675a,demographics,age_range,"Age range",25_34,90178
hp_ABX_passivetest,hp_mpb6ju6s_0vsdufuy,1854e081-250e-4d0a-9d55-74ad51ee675a,demographics,gender,Gender,male,90178
hp_ABX_passivetest,hp_mpb6ju6s_0vsdufuy,1854e081-250e-4d0a-9d55-74ad51ee675a,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,90178
hp_ABX_passivetest,hp_mpb6ju6s_0vsdufuy,1854e081-250e-4d0a-9d55-74ad51ee675a,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","Sennheiser HD650s",90178
hp_ABX_passivetest,hp_mpb6ju6s_0vsdufuy,1854e081-250e-4d0a-9d55-74ad51ee675a,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?",3-5,90178
hp_ABX_passivetest,hp_mpb6ju6s_0vsdufuy,1854e081-250e-4d0a-9d55-74ad51ee675a,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",1-2,90178
hp_ABX_passivetest,hp_mpb7r58c_ucbz5lai,52a3a0d0-c2a7-450f-a787-751902a52090,demographics,age_range,"Age range",25_34,83100
hp_ABX_passivetest,hp_mpb7r58c_ucbz5lai,52a3a0d0-c2a7-450f-a787-751902a52090,demographics,gender,Gender,male,83100
hp_ABX_passivetest,hp_mpb7r58c_ucbz5lai,52a3a0d0-c2a7-450f-a787-751902a52090,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,83100
hp_ABX_passivetest,hp_mpb7r58c_ucbz5lai,52a3a0d0-c2a7-450f-a787-751902a52090,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","sennheiser hd650s",83100
hp_ABX_passivetest,hp_mpb7r58c_ucbz5lai,52a3a0d0-c2a7-450f-a787-751902a52090,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?",0,83100
hp_ABX_passivetest,hp_mpb7r58c_ucbz5lai,52a3a0d0-c2a7-450f-a787-751902a52090,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",3-5,83100
hp_ABX_passivetest,hp_mpb8ok76_oxs3tgtw,f4065289-14ed-4d97-a935-cfaa8a6ed74d,demographics,age_range,"Age range",25_34,63852
hp_ABX_passivetest,hp_mpb8ok76_oxs3tgtw,f4065289-14ed-4d97-a935-cfaa8a6ed74d,demographics,gender,Gender,female,63852
hp_ABX_passivetest,hp_mpb8ok76_oxs3tgtw,f4065289-14ed-4d97-a935-cfaa8a6ed74d,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,63852
hp_ABX_passivetest,hp_mpb8ok76_oxs3tgtw,f4065289-14ed-4d97-a935-cfaa8a6ed74d,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","Sennheiser HD650s",63852
hp_ABX_passivetest,hp_mpb8ok76_oxs3tgtw,f4065289-14ed-4d97-a935-cfaa8a6ed74d,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?",3-5,63852
hp_ABX_passivetest,hp_mpb8ok76_oxs3tgtw,f4065289-14ed-4d97-a935-cfaa8a6ed74d,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",1-2,63852
hp_ABX_passivetest,hp_mpcf0pc0_krr2rz13,257d27ed-4f42-4479-9da1-fd320fe23cd4,demographics,age_range,"Age range",25_34,13885
hp_ABX_passivetest,hp_mpcf0pc0_krr2rz13,257d27ed-4f42-4479-9da1-fd320fe23cd4,demographics,gender,Gender,female,13885
hp_ABX_passivetest,hp_mpcf0pc0_krr2rz13,257d27ed-4f42-4479-9da1-fd320fe23cd4,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,13885
hp_ABX_passivetest,hp_mpcf0pc0_krr2rz13,257d27ed-4f42-4479-9da1-fd320fe23cd4,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).","sennheiser hd650s",13885
hp_ABX_passivetest,hp_mpcf0pc0_krr2rz13,257d27ed-4f42-4479-9da1-fd320fe23cd4,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?",3-5,13885
hp_ABX_passivetest,hp_mpcf0pc0_krr2rz13,257d27ed-4f42-4479-9da1-fd320fe23cd4,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",1-2,13885
hp_ABX_passivetest,hp_mpqnmy0g_rxp262gc,659fd04c-b41a-4450-9b61-6dd62ca6909a,demographics,age_range,"Age range",25_34,46083
hp_ABX_passivetest,hp_mpqnmy0g_rxp262gc,659fd04c-b41a-4450-9b61-6dd62ca6909a,demographics,gender,Gender,male,46083
hp_ABX_passivetest,hp_mpqnmy0g_rxp262gc,659fd04c-b41a-4450-9b61-6dd62ca6909a,demographics,gender_self_describe,"If you selected 'Prefer to self-describe' for gender, you may write it here. Otherwise, leave blank.",,46083
hp_ABX_passivetest,hp_mpqnmy0g_rxp262gc,659fd04c-b41a-4450-9b61-6dd62ca6909a,demographics,listening_device,"Please write down what headphones you are using (e.g. Sennheiser HD650s).",HD650s,46083
hp_ABX_passivetest,hp_mpqnmy0g_rxp262gc,659fd04c-b41a-4450-9b61-6dd62ca6909a,demographics,listening_experience,"How many hours per week do you spend actively listening using headphones?","6 ",46083
hp_ABX_passivetest,hp_mpqnmy0g_rxp262gc,659fd04c-b41a-4450-9b61-6dd62ca6909a,demographics,listenchat_experience,"How many hours per week do you spend using headphones with a microphone (online gaming, Zoom teleconferencing, etc.)?",3-5,46083
